folder,case,ground_truth,ranked_services
adservice_f3,1,adservice,checkoutservice;cartservice;shippingservice;currencyservice;paymentservice;emailservice;frontend;productcatalogservice;recommendationservice;adservice
adservice_f3,2,adservice,checkoutservice;frontend;paymentservice;cartservice;currencyservice;shippingservice;productcatalogservice;emailservice;recommendationservice;adservice
adservice_f3,3,adservice,checkoutservice;frontend;shippingservice;productcatalogservice;currencyservice;cartservice;paymentservice;emailservice;recommendationservice;adservice
adservice_f4,1,adservice,adservice;frontend;recommendationservice;cartservice;productcatalogservice;checkoutservice;paymentservice;shippingservice;currencyservice;emailservice
adservice_f4,2,adservice,adservice;frontend;recommendationservice;productcatalogservice;currencyservice;checkoutservice;cartservice;shippingservice;paymentservice;emailservice
adservice_f4,3,adservice,adservice;frontend;recommendationservice;productcatalogservice;checkoutservice;cartservice;shippingservice;currencyservice;paymentservice;emailservice
adservice_f5,1,adservice,adservice;checkoutservice;frontend;currencyservice;cartservice;shippingservice;paymentservice;productcatalogservice;recommendationservice;emailservice
adservice_f5,2,adservice,adservice;frontend;checkoutservice;shippingservice;currencyservice;paymentservice;cartservice;productcatalogservice;recommendationservice;emailservice
adservice_f5,3,adservice,adservice;checkoutservice;currencyservice;cartservice;shippingservice;productcatalogservice;paymentservice;emailservice;recommendationservice;frontend
cartservice_f1,1,cartservice,cartservice;checkoutservice;currencyservice;frontend;paymentservice;shippingservice;productcatalogservice;recommendationservice;emailservice;adservice
cartservice_f1,2,cartservice,cartservice;frontend;checkoutservice;currencyservice;shippingservice;paymentservice;productcatalogservice;emailservice;recommendationservice;adservice
cartservice_f1,3,cartservice,cartservice;frontend;checkoutservice;currencyservice;shippingservice;paymentservice;productcatalogservice;emailservice;recommendationservice;adservice
currencyservice_f1,1,currencyservice,checkoutservice;cartservice;currencyservice;shippingservice;paymentservice;productcatalogservice;frontend;recommendationservice;emailservice;adservice
currencyservice_f1,2,currencyservice,checkoutservice;cartservice;paymentservice;shippingservice;currencyservice;frontend;productcatalogservice;recommendationservice;adservice;emailservice
currencyservice_f1,3,currencyservice,checkoutservice;cartservice;paymentservice;shippingservice;currencyservice;productcatalogservice;frontend;recommendationservice;adservice;emailservice
emailservice_f1,1,emailservice,emailservice;checkoutservice;paymentservice;frontend;currencyservice;shippingservice;productcatalogservice;recommendationservice;cartservice;adservice
emailservice_f1,2,emailservice,emailservice;frontend;checkoutservice;paymentservice;shippingservice;currencyservice;cartservice;productcatalogservice;recommendationservice;adservice
emailservice_f1,3,emailservice,emailservice;checkoutservice;paymentservice;cartservice;shippingservice;currencyservice;frontend;productcatalogservice;recommendationservice;adservice
emailservice_f2,1,emailservice,emailservice;checkoutservice;paymentservice;shippingservice;cartservice;frontend;currencyservice;productcatalogservice;recommendationservice;adservice
emailservice_f2,2,emailservice,emailservice;checkoutservice;paymentservice;frontend;cartservice;shippingservice;currencyservice;productcatalogservice;recommendationservice;adservice
emailservice_f2,3,emailservice,emailservice;checkoutservice;frontend;paymentservice;cartservice;shippingservice;currencyservice;productcatalogservice;recommendationservice;adservice
emailservice_f3,1,emailservice,checkoutservice;frontend;paymentservice;cartservice;shippingservice;currencyservice;productcatalogservice;emailservice;recommendationservice;adservice
emailservice_f3,2,emailservice,frontend;checkoutservice;cartservice;paymentservice;shippingservice;currencyservice;productcatalogservice;recommendationservice;adservice;emailservice
emailservice_f3,3,emailservice,checkoutservice;frontend;currencyservice;cartservice;productcatalogservice;paymentservice;shippingservice;emailservice;recommendationservice;adservice
emailservice_f4,1,emailservice,checkoutservice;frontend;paymentservice;cartservice;currencyservice;shippingservice;productcatalogservice;emailservice;recommendationservice;adservice
emailservice_f4,2,emailservice,checkoutservice;cartservice;paymentservice;shippingservice;currencyservice;productcatalogservice;frontend;recommendationservice;adservice;emailservice
emailservice_f4,3,emailservice,checkoutservice;currencyservice;cartservice;shippingservice;paymentservice;productcatalogservice;emailservice;recommendationservice;frontend;adservice
emailservice_f5,1,emailservice,emailservice;checkoutservice;shippingservice;paymentservice;frontend;currencyservice;cartservice;productcatalogservice;recommendationservice;adservice
emailservice_f5,2,emailservice,emailservice;checkoutservice;paymentservice;cartservice;shippingservice;currencyservice;productcatalogservice;recommendationservice;frontend;adservice
emailservice_f5,3,emailservice,emailservice;frontend;checkoutservice;paymentservice;shippingservice;currencyservice;cartservice;adservice;recommendationservice;productcatalogservice
